lp	data wylotu	godzina wylotu	data przylotu	godzina przylotu	Cargo za³adunek	Cargo wy³adunek			
1	01-09-2021	08:00:00	01-09-2021	09:14:36	12	0			
2	01-09-2021	10:11:00	01-09-2021	13:25:27	11	16			
3	01-09-2021	15:30:26	01-09-2021	17:11:21	9	0			
4	01-09-2021	18:19:24	01-09-2021	21:56:12	14	11			
5	02-09-2021	04:15:11	02-09-2021	06:33:21	21	15			
6	02-09-2021	08:20:12	02-09-2021	10:11:26	11	24			
7	02-09-2021	11:32:21	02-09-2021	13:43:53	19	10			
8	02-09-2021	15:11:23	02-09-2021	17:30:24	9	11			
9	02-09-2021	19:20:32	02-09-2021	21:31:33	12	15			
10	03-09-2021	03:15:06	03-09-2021	07:34:45	17	22			
11	03-09-2021	09:04:06	03-09-2021	11:04:25	14	10			
12	03-09-2021	12:01:15	03-09-2021	15:16:19	24	19			
13	03-09-2021	16:55:06	03-09-2021	18:26:19	16	11			
14	03-09-2021	19:26:19	03-09-2021	22:16:45	15	9			
15	04-09-2021	04:06:09	04-09-2021	06:04:35	7	16			
16	04-09-2021	07:06:32	04-09-2021	08:19:45	9	11			
17	04-09-2021	08:35:19	04-09-2021	10:05:36	13	18			
18	04-09-2021	11:39:20	04-09-2021	12:55:10	22	5			
19	04-09-2021	16:51:10	04-09-2021	18:34:04	8	23			
20	04-09-2021	19:26:05	04-09-2021	23:11:16	11	14			
21	05-09-2021	07:15:54	05-09-2021	09:01:45	17	23			
22	05-09-2021	10:19:14	05-09-2021	12:16:25	15	11			
23	05-09-2021	13:25:06	05-09-2021	15:26:19	19	21			
24	05-09-2021	16:36:19	05-09-2021	17:36:28	11	9			
25	05-09-2021	18:30:30	05-09-2021	19:50:16	15	11			
26	05-09-2021	21:00:00	06-09-2021	00:19:26	15	17			
27	06-09-2021	05:12:46	06-09-2021	07:08:36	9	6			
28	06-09-2021	09:11:36	06-09-2021	12:36:19	14	22			
29	06-09-2021	13:25:15	06-09-2021	15:01:15	14	3			
30	06-09-2021	17:11:04	06-09-2021	18:19:00	18	14			
31	06-09-2021	19:42:12	06-09-2021	21:22:13	16	21			
32	07-09-2021	07:46:19	07-09-2021	09:36:14	15	14			
33	07-09-2021	11:09:08	07-09-2021	12:31:16	12	23			
34	07-09-2021	13:45:48	07-09-2021	15:34:16	17	6			
35	07-09-2021	16:56:19	07-09-2021	19:00:11	19	16			
36	07-09-2021	20:12:01	07-09-2021	22:34:36	11	14			
37	08-09-2021	03:15:16	08-09-2021	06:15:65	13	22			
38	08-09-2021	07:49:16	08-09-2021	09:33:04	11	4			
39	08-09-2021	10:01:22	08-09-2021	12:35:15	14	21			
