kod_skoczka	nazwisko_imie	kod_kraju
sk1	GRANERUD Halvor Egner	k1
sk2	HUBER Daniel	k2
sk3	GEIGER Karl	k3
sk4	KUBACKI Dawid	k4
sk5	PASCHKE Pius	k3
sk6	¯Y£A Piotr	k4
sk7	EISENBICHLER Markus	k3
sk8	HAYBOECK Michael	k2
sk9	KRAFT Stefan	k2
sk10	ASCHENWALD Philipp	k2
sk11	STOCH Kamil	k4
sk12	SATO Yukiya	k5
sk13	JOHANSSON Robert	k1
sk14	MURAÑKA Klemens	k4
sk15	ZAJC Timi	k6
sk16	KOBAYASHI Junshiro	k5
sk17	SCHMID Constantin	k3
sk18	PREVC Peter	k6
sk19	KLIMOW Jewgienij	k7
sk20	DESCHWANDEN Gregor	k8
sk21	LINDVIK Marius	k1
sk22	ITO Daiki	k5
sk23	LANISEK Anze	k6
sk24	TANDE Daniel Andre	k1
sk25	KOBAYASHI Ryoyu	k5
sk26	JELAR Ziga	k6
sk27	PETER Dominik	k8
sk28	AMMANN Simon	k8
sk29	MANKOW Ilja	k7
sk30	TROFIMOW Roman Siergiejewicz	k7
sk31	PAVLOVCIC Bor	k6
sk32	STÊKA£A Andrzej	k4
sk33	AIGRO Artti	k9
sk34	HAMANN Martin	k3
sk35	HAARE Anders	k1
sk36	LEITNER Clemens	k2
sk37	AALTO Antti	k10
sk38	W¥SEK Pawe³	k4
sk39	FREUND Severin	k3
sk40	SEMENIC Anze	k6
sk41	FETTNER Manuel	k2
sk42	SCHIFFNER Markus	k2
sk43	LACKNER Thomas	k2
sk44	ZNISZCZO£ Aleksander	k4
sk45	SATO Keiichi	k5
sk46	WOLNY Jakub	k4
sk47	ERIKSEN Sander Vossan	k1
sk48	FORFANG Johann Andre	k1
sk49	NAZAROW Michai³	k7
sk50	STEINER Maximilian	k2
sk51	KOT Maciej	k4
sk52	NAKAMURA Naoki	k5
sk53	PILCH Tomasz	k4
sk54	BOYD-CLOWES Mackenzie	k11
sk55	BARTOL Tilen	k6
sk56	SCHLIERENZAUER Gregor	k2
sk57	HOERL Jan	k2
sk58	FREITAG Richard	k3
sk59	PREVC Cene	k6
sk60	KASAI Noriaki	k5
sk61	STJERNEN Andreas	k1
sk62	PREVC Domen	k6
sk63	LEYHE Stephan	k3
sk64	KOUDELKA Roman	k12
sk65	TEPES Jurij	k6
sk66	NOUSIAINEN Eetu	k10
sk67	KOZISEK Cestmir	k12
sk68	KYTOSAHO Niko	k10
sk69	TSCHOFENIG Daniel	k2
sk70	ZOGRAFSKI W³adimir	k13
sk71	INSAM Alex	k14
sk72	MARKENG Thomas Aasen	k1
sk73	HAAGEN David	k2
sk74	WOHLGENANNT Ulrich	k2
sk75	PRESECNIK Jernej	k6
sk76	PEIER Killian	k8
sk77	SIEGEL David	k3
sk78	WELLINGER Andreas	k3
sk79	DAMJAN Jernej	k6
sk80	HULA Stefan	k4
sk81	AIGNER Clemens	k2
sk82	TAKEUCHI Taku	k5
sk83	POLASEK Viktor	k12
sk84	BAER Moritz	k3
sk85	PEDERSEN Robin	k1
sk86	HLAVA Lukas	k12
sk87	FANNEMEL Anders	k1
sk88	WASILJEW Dmitrij	k7
