miejsce	kod_zawodnika	odl.1	odl.2	punkty	skocznia
1	sk1	123	132	282,2	s1
2	sk2	131	135	278	s1
3	sk3	131,5	130	277,5	s1
4	sk4	131,5	130,5	274,2	s1
5	sk5	126	128	272,4	s1
6	sk6	129	127,5	270,1	s1
7	sk7	123,5	127	269,1	s1
8	sk8	128,5	131,5	268,3	s1
9	sk9	120,5	127	266,5	s1
10	sk10	128	121,5	265,2	s1
11	sk11	118,5	126	264,8	s1
12	sk12	120	127,5	264,7	s1
13	sk13	123,5	129	257,8	s1
14	sk14	122	126	252,4	s1
15	sk15	119	130	251,8	s1
16	sk16	124	121,5	251,5	s1
17	sk17	126	119	250,3	s1
18	sk18	120,5	125	246,4	s1
19	sk19	120	120	245,4	s1
20	sk20	116,5	120	244,8	s1
21	sk21	119,5	120,5	243,8	s1
22	sk22	121	122	243,2	s1
23	sk23	123	119,5	240,7	s1
24	sk24	123	122	240,4	s1
25	sk25	117,5	121,5	236,9	s1
26	sk26	113	116	229,5	s1
27	sk27	117,5	115,5	220,3	s1
28	sk28	113,5	119	216,7	s1
29	sk29	117	116	215,5	s1
30	sk30	114	117,5	215,2	s1
1	sk7	146	141	313,4	s2
2	sk6	136	137	294,1	s2
3	sk4	139	132,5	293,9	s2
4	sk1	135	142	291,2	s2
5	sk12	140	127	276,1	s2
6	sk13	134	136	275,7	s2
7	sk31	134,5	132	274,9	s2
8	sk5	136	129,5	268,5	s2
9	sk3	129,5	132,5	265,2	s2
10	sk14	131	134,5	265	s2
11	sk32	131	131,5	260,6	s2
12	sk11	125	136	257,9	s2
13	sk26	129	126,5	253,6	s2
14	sk33	128,5	129,5	253,1	s2
15	sk34	128,5	130	252,5	s2
16	sk17	126	131,5	251,6	s2
17	sk16	124,5	130	244,7	s2
18	sk35	123,5	129,5	241	s2
19	sk36	127,5	125	240,8	s2
20	sk37	128	123	237,5	s2
21	sk22	122	128	236,9	s2
22	sk38	130	123,5	236	s2
23	sk39	128	121	234,3	s2
24	sk40	124,5	124	231,7	s2
25	sk41	131	118	230,2	s2
26	sk20	121	125	229,2	s2
27	sk21	125,5	121,5	227,7	s2
28	sk42	126,5	118	225	s2
29	sk18	123	113	214,7	s2
30	sk27	118,5	115,5	207,7	s2
1	sk1	132,5	132	270	s3
2	sk2	131	133	255,7	s3
3	sk13	120,5	142,5	254,1	s3
4	sk43	128,5	131	249,3	s3
5	sk5	128	126,5	241,6	s3
6	sk44	131	122	230,6	s3
7	sk19	132	120,5	230,5	s3
8	sk12	127,5	124	230,2	s3
9	sk23	125	123	227,3	s3
10	sk42	124	123	223,9	s3
11	sk34	123,5	123,5	223,5	s3
12	sk25	122	122	223,1	s3
13	sk31	119	129	222,9	s3
14	sk45	126	116	222,5	s3
15	sk46	133	122	221,7	s3
16	sk27	125,5	122,5	219,2	s3
17	sk20	122	123,5	218	s3
18	sk24	125,5	116	216,9	s3
19	sk47	121	124	213,5	s3
20	sk48	121	119,5	212,7	s3
21	sk49	121,5	121,5	212,1	s3
22	sk15	128,5	111	211,7	s3
23	sk50	128,5	114	202	s3
24	sk26	122	115,5	201,4	s3
25	sk51	123,5	111	198,3	s3
26	sk21	125	114	198,1	s3
27	sk30	125,5	115,5	197,8	s3
28	sk7	136,5	80	183,6	s3
29	sk52	120,5	104,5	176,2	s3
30	sk53	124	96,5	164,8	s3
1	sk1	133,5	138	311,4	s4
